"","name","elected","ideology","list","party_member","party","age","sex","educ"
"35","alvaro Jofre Caceres","1","0.948377948671602","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","45+","Hombre","Educacion Superior"
"36","Freddy Marcos Araneda Barahona","0","0.994306972191424","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","45+","Hombre","Educacion Superior"
"37","Felipe Hubner Valdivieso","0","0.815268428617512","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","Hasta 44","Hombre","Educacion Superior"
"38","Luis Patricio Rios Munoz","0","-1.60572083848402","Independiente","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"39","Lorena Gonzalez Rodriguez","0","-1.19828597146502","Independiente","Independiente","null","45+","Mujer","Educacion Superior"
"40","Luis Segundo Davila Mendoza","0","-1.21750724369608","Cabildo Autoconvocado","Independiente","null","45+","Hombre","Educacion Superior"
"41","Manuel Octavio Munoz Barrientos","0","-1.54695627310144","Cabildo Autoconvocado","Independiente","null","45+","Hombre","null"
"42","Leonardo Felipe Escarate Ayala","0","-1.33819424872199","Autonomia Social y Sindical Tarapaca","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"43","Jorge Aldebaran Diaz Corona","0","-0.829210271661544","Nobles Hijxos de Tarapaca","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"44","Sergio Andres Cortez Cortez","0","-1.85886561534519","Independientes de Tarapaca","Independiente","null","45+","Hombre","Educacion Superior"
"45","Alejandra Alicia Flores Carlos","1","-1.16720097793418","Independientes de Tarapaca","Independiente","null","45+","Mujer","Educacion Superior"
"46","Carlos Patricio Urra Raddatz","0","-1.55264226926196","Independientes de Tarapaca","Independiente","null","45+","Hombre","Educacion Superior"
"47","Tiffany Krystal Grassi Miranda","0","-1.42669510913336","Independientes de Tarapaca","Independiente","null","Hasta 44","Mujer","Educacion Media"
"48","Luis Alejandro Perez Reyes","0","-1.42795835415448","Pueblo Unido Tarapaca","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"49","Grace Fabiola Harris Guerra","0","-0.974765094312248","Pueblo Unido Tarapaca","Independiente","null","45+","Mujer","Educacion Superior"
"50","Enrique Orlando Echeverria Garcia","0","-1.30723961617896","Pueblo Unido Tarapaca","Independiente","null","45+","Hombre","Educacion Superior"
"51","Gonzalo Sepulveda Fuenzalida","0","-1.3101105238299","Pueblo Unido Tarapaca","Independiente","null","45+","Hombre","Educacion Superior"
"52","Alex Patricio Adasme Cadiz","0","-1.26679252330466","Lista del Apruebo","Independiente","Independiente - Ciudadanos (CIU)","45+","Hombre","Educacion Superior"
"53","Ana Maria Luksic Romero","0","-1.2589780074459","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","Hasta 44","Mujer","Educacion Superior"
"54","Ignacio Andres Prieto Henriquez","0","-1.10183513920602","Lista del Apruebo","Independiente","Independiente - Partido Radical (PR)","45+","Hombre","Educacion Superior"
"55","Fresia Filomena Rojas Jerez","0","1.12683344580428","Lista del Apruebo","Independiente","Independiente","45+","Mujer","Educacion Superior"
"56","Julia Annabella Gandarillas Guisa","0","-1.07818506102512","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","45+","Mujer","Educacion Superior"
"57","Gonzalo Andres Prieto Navarrete","0","-1.71794694403617","Lista del Apruebo","Militante de Partido","Partido Por la Democracia (PPD)","Hasta 44","Hombre","Educacion Superior"
"58","Pablo Antonio Toloza Fernandez","1","0.704483601532415","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","45+","Hombre","Educacion Superior"
"59","Marcos William Celedon Gamboa","0","0.339932178020245","Vamos por Chile","Independiente","Independiente - Evolucion Politica (Evopoli)","Hasta 44","Hombre","Educacion Superior"
"60","Jorge Lawrence Santibanez","0","0.417515111286882","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","Hasta 44","Hombre","Educacion Superior"
"61","Marcela Maldonado Barrera","0","0.151845512932193","Vamos por Chile","Independiente","Independiente - Evolucion Politica (Evopoli)","45+","Mujer","Educacion Superior"
"62","Wilfredo Eduardo Lobos Godoy","0","-1.62851734538765","La Lista del Pueblo","Independiente","null","45+","Hombre","Educacion Superior"
"63","Dayyana Alejandra Gonzalez Araya","1","-1.65437439108296","La Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"64","Carlos Humberto Hernandez Ossandon","0","-1.2855158297238","La Lista del Pueblo","Independiente","null","45+","Hombre","Educacion Superior"
"65","Dalila Ivonne Pena Munoz","0","-0.902881955098749","La Lista del Pueblo","Independiente","null","45+","Mujer","Educacion Media"
"66","Romina Alexandra avalos Vergara","0","-1.0964283425331","Apruebo Dignidad","Militante de Partido","Revolucion Democratica (RD)","Hasta 44","Mujer","Educacion Superior"
"67","Maria Angelica Ojeda Gonzalez","0","-1.32653012534208","Apruebo Dignidad","Militante de Partido","Partido Comunista (PC)","45+","Mujer","Educacion Superior"
"68","Kenin Hernan Cerda Meza","0","-1.58025733877104","Apruebo Dignidad","Independiente","Independiente - Comunes (COM)","Hasta 44","Hombre","Educacion Superior"
"69","Berta Andrea Torrejon Gallo","0","-1.14712920621942","Apruebo Dignidad","Independiente","Independiente - Partido Igualdad (PI)","45+","Mujer","Educacion Superior"
"70","Pablo Rojas Varas","0","-1.21016766438212","Apruebo Dignidad","Independiente","Independiente - Partido Igualdad (PI)","Hasta 44","Hombre","Educacion Superior"
"71","Daniel Pac-Siong Munoz Loo","0","1.03886686781458","Independiente","Independiente","null","Hasta 44","Hombre","null"
"72","Luz Marianelly Castillo Ramirez","0","0.650398948380301","Independiente","Independiente","null","45+","Mujer","null"
"73","Arnaldo Christian Nunez San Martin","0","-1.04009220404464","Movimiento Independientes del Norte","Independiente","null","45+","Hombre","Educacion Superior"
"74","Vianney Paola Sierralta Aracena","0","-1.34234218012041","Movimiento Independientes del Norte","Independiente","null","45+","Mujer","Educacion Superior"
"75","Catherine Marlene Sanchez Gutierrez","0","-1.20560070939865","Independientes del Norte Grande por una nueva Constitucion","Independiente","Independiente","Hasta 44","Mujer","Educacion Superior"
"76","Raul Eduardo Catalan Castro","0","-1.14075019212462","Independientes del Norte Grande por una nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"77","Nora Lizette Biaggini Suarez","0","0.093507469335726","Independientes del Norte Grande por una nueva Constitucion","Independiente","Independiente","45+","Mujer","Educacion Media"
"78","Celia De Las Mercedes Gonzalez Bravo","0","-1.27291292909534","Lista del Apruebo","Militante de Partido","Partido Radical (PR)","45+","Mujer","Educacion Superior"
"79","Jorge Leoncio Alvarado Zepeda","0","-1.18547445495246","Lista del Apruebo","Independiente","Independiente - Partido Radical (PR)","45+","Hombre","Educacion Superior"
"80","Katherine Abigail Leyton alvarez","0","-1.31811483856419","Lista del Apruebo","Independiente","Independiente - Partido Progresista (PRO)","Hasta 44","Mujer","Educacion Superior"
"81","Felipe Lerzundi Rivas","0","-1.16292809079082","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","Hasta 44","Hombre","Educacion Superior"
"82","Fabiola Rivero Rojas","0","-1.05349304554552","Lista del Apruebo","Independiente","Independiente - Partido Socialista (PS)","Hasta 44","Mujer","Educacion Superior"
"83","Carlos Daniel Martin Prunotto","0","0.798227307121319","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","45+","Hombre","Educacion Media"
"84","Wilma Jimenez Mutis","0","0.633520378939786","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","45+","Mujer","Educacion Superior"
"85","Carlos Alberto Montalva Perez","0","0.700961710770881","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","Hasta 44","Hombre","Educacion Superior"
"86","Miguel Fortt Zanoni","0","0.906490521778922","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","45+","Hombre","null"
"87","Maria Francisca Plaza Velis","0","1.00932414375105","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","Hasta 44","Mujer","Educacion Superior"
"88","Octavio Sebastian Echeverria Alfaro","0","-1.15669671890667","Asamblea Constituyente Atacama","Independiente","null","Hasta 44","Hombre","null"
"89","Constanza Andrea San Juan Standen","1","-1.17143222362277","Asamblea Constituyente Atacama","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"90","Fabian Cristhian Armando Rabi Ortiz","0","-1.25367320281779","Asamblea Constituyente Atacama","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"91","Raul Fernando Miranda Silva","0","-1.05535341505007","Asamblea Constituyente Atacama","Independiente","null","45+","Hombre","Educacion Superior"
"92","Ericka Natalia Portilla Barrios","1","-1.13140872551307","Apruebo Dignidad","Militante de Partido","Partido Comunista (PC)","Hasta 44","Mujer","Educacion Superior"
"93","Flavia Oscarina Torrealba Diaz","0","-1.60161742893994","Apruebo Dignidad","Militante de Partido","Federacion Regionalista Verde Social (FRVS)","45+","Mujer","Educacion Superior"
"94","Enrique Luis Poblete Orrego","0","-1.0283186415158","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"95","Florencia Margarita Arostica Cordero","0","-1.62582012946312","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Mujer","Educacion Media"
"96","Guillermo Nicolas Namor Kong","1","-0.849718212949497","Independientes por la Nueva Constitucion","Independiente","Independiente","Hasta 44","Hombre","Educacion Superior"
"97","Mario Juan Maturana Claro","0","0.470675237391649","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"98","Nolvia Angelica Toro Vasquez","0","-1.29148417087366","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Mujer","Educacion Superior"
"99","Octavio Meneses Aqueveque","0","0.371366687749286","Lista del Apruebo","Militante de Partido","Partido por la Democracia (PPD)","45+","Hombre","Educacion Media"
"100","Alberto Ivan Francisco Robles Pantoja","0","0.647937931105958","Lista del Apruebo","Militante de Partido","Partido Radical (PR)","45+","Hombre","Educacion Superior"
"101","Marcela Alexandra Araya Sepulveda","0","-0.856198433357723","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","Hasta 44","Mujer","Educacion Superior"
"102","Maximiliano Andres Hurtado Roco","1","-1.3383482004122","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","Hasta 44","Hombre","Educacion Superior"
"103","Catalina Jones Sepulveda","0","-0.749735591984744","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","Hasta 44","Mujer","Educacion Superior"
"104","Palmira Del Carmen Rojas Andrade","0","-1.74711127961591","Lista del Apruebo","Militante de Partido","Partido Radical (PR)","Hasta 44","Mujer","Educacion Superior"
"105","Pamela Vargas Toledo","0","-1.36934456876657","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","45+","Mujer","Educacion Superior"
"106","Rodrigo Andres Perez Lisicic","0","-0.866012914680684","Independiente","Independiente","null","45+","Hombre","Educacion Superior"
"107","Alejandra Valdovinos Jofre","0","0.468281866076968","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","Hasta 44","Mujer","Educacion Superior"
"108","Maria Gabriela Parot Donoso","0","-0.781369576057437","Vamos por Chile","Independiente","Independiente - Evolucion Politica (Evopoli)","45+","Mujer","Educacion Superior"
"109","Juan Jose Tagle Dominguez","0","0.290521206152681","Vamos por Chile","Independiente","Independiente - Evolucion Politica (Evopoli)","Hasta 44","Hombre","Educacion Superior"
"110","Ronald Brandt Silva","0","0.71567035668213","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","Hasta 44","Hombre","Educacion Superior"
"111","Maria Ines Figari Barrera","0","0.181301940232317","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","45+","Mujer","Educacion Superior"
"112","Vinka Pusich Camacho","0","0.290152646799731","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Mujer","Educacion Superior"
"113","Roberto Vega Campusano","1","0.559195763444987","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Hombre","Educacion Superior"
"114","Diego Ignacio Figueroa Beecher","0","-1.317486463029","La Lista del Pueblo - Movimiento Territorial Constituyente","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"115","Alex Eduaro Cortes Carvajal","0","-1.23802481779671","La Lista del Pueblo - Movimiento Territorial Constituyente","Independiente","null","45+","Hombre","Educacion Superior"
"116","Nancy del Carmen Duman Brito","0","-1.28104164452412","La Lista del Pueblo - Movimiento Territorial Constituyente","Independiente","null","45+","Mujer","Educacion Superior"
"117","Daniel Alejandro Bravo Silva","1","-1.22966510592336","La Lista del Pueblo - Movimiento Territorial Constituyente","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"118","Leonardo Alejandro Pasten Torres","0","-1.53254611018431","La Lista del Pueblo - Movimiento Territorial Constituyente","Independiente","null","45+","Hombre","Educacion Superior"
"119","Jennifer Valeria Mella Escobar","1","-1.45973024943792","Apruebo Dignidad","Independiente","Independiente - Convergencia Social (CS)","Hasta 44","Mujer","Educacion Superior"
"120","Jorge Omar Naveas Bravo","0","-1.38011772920393","Apruebo Dignidad","Independiente","Independiente - Partido Igualdad (PI)","Hasta 44","Hombre","Educacion Superior"
"121","Mauricio Ugarte Gonzalez","0","-1.19542453883793","Apruebo Dignidad","Militante de Partido","Partido Comunista (PC)","45+","Hombre","Educacion Superior"
"122","Marisol Yanette Gonzalez Arancibia","0","-1.06983374193285","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","Hasta 44","Mujer","Educacion Superior"
"123","Katharina Valeska Pavletich Heisig","0","-1.45816850284863","Apruebo Dignidad","Independiente","Independiente Comunes (COM)","Hasta 44","Mujer","Educacion Superior"
"124","Maria Trinidad Castillo Boilet","1","-1.5902107647823","Independientes por la Region de Coquimbo","Independiente","null","45+","Mujer","Educacion Superior"
"125","Francisco Javier Morgado Salfate","0","0.206925179413802","Independientes por la Region de Coquimbo","Independiente","null","45+","Hombre","Educacion Superior"
"126","Kenneth Arnaldo Romero Quiroz","0","-1.15809650914368","Independientes por la Region de Coquimbo","Independiente","null","45+","Hombre","Educacion Superior"
"127","Elena del Rosario Bolados Garcia","0","-1.4028597292227","Independientes del Apruebo Region Coquimbo","Independiente","null","45+","Mujer","Educacion Superior"
"128","Marcelo Adrian Saavedra Carmona","0","-1.4026561932765","Independientes del Apruebo Region Coquimbo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"129","Nathaly Andrea Olivares Bignani","0","-1.3684460736564","Independientes del Apruebo Region Coquimbo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"130","Camilo Alexis Ortiz Rojas","0","-1.51635237548757","Independientes del Apruebo Region Coquimbo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"131","Natalia Escarlet Figueroa Pino","0","0.245091819169191","Independientes del Apruebo Region Coquimbo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"132","Miguel angel Carvajal Carvajal","0","-1.54397126893717","Independientes del Apruebo Region Coquimbo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"133","Natalia Eleonora Rojas Rosas","0","-1.35664603598101","Lista del Apruebo","Militante de Partido","Partido Radical (PR)","45+","Mujer","Educacion Superior"
"134","Gladys Barraza Astudillo","0","-1.19930446808938","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","45+","Mujer","Educacion Superior"
"135","Carlos Manuel Calvo Munoz","1","-1.07640830743307","Lista del Apruebo","Independiente","Independiente - Partido Socialista (PS)","45+","Hombre","Educacion Superior"
"136","Elisa Carolina Oyarzun Oyarzun","0","-1.20085300594384","Lista del Apruebo","Independiente","Independiente - Partido Socialista (PS)","45+","Mujer","Educacion Media"
"137","Carlos Alejandro Yusta Manterola","0","-1.48905382386525","Lista del Apruebo","Independiente","Independiente - Partido Radical (PR)","45+","Hombre","Educacion Superior"
"138","Maria Belen Rojas Pinto","0","-0.0603860166709949","Lista del Apruebo","Independiente","Independiente - Partido por la Democracia (PPD)","Hasta 44","Mujer","Educacion Superior"
"139","Claudia Adriana Valenzuela Torres","0","-1.26354090828729","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","45+","Mujer","Educacion Superior"
"140","Felipe Roberto Sepulveda Lepe","0","-0.766317916275646","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Superior"
"141","Chiara Natalia Barchiesi Chavez","0","0.715145206809196","Vamos por Chile","Militante de Partido","Partido Republicano (REP)","Hasta 44","Mujer","Educacion Superior"
"142","Carolina Contreras Berrios","0","1.43119353065987","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","45+","Mujer","Educacion Superior"
"143","Jose Antonio Valenzuela Mac-Kellar","0","1.07209804745886","Vamos por Chile","Independiente","Independiente - Evolucion Politica (Evopoli)","Hasta 44","Hombre","Educacion Superior"
"144","Maria de los angeles Lopez Porfiri","0","1.44276801677806","Vamos por Chile","Militante de Partido","Partido Republicano (REP)","Hasta 44","Mujer","Educacion Superior"
"145","Robert Reinhold Raul Knop Pisano","0","0.850454101862424","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","Hasta 44","Hombre","Educacion Superior"
"146","Ruggero Ignacio Cozzi Elzo","1","0.783128155972563","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","Hasta 44","Hombre","Educacion Superior"
"147","Erika Cecilia Munoz Bravo","0","0.985266485473118","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","45+","Mujer","Educacion Media"
"148","Francisca Desbordes Salces","0","0.887063453542427","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Mujer","Educacion Superior"
"149","Matias Gazmuri Kruberg","0","-1.68037145962545","Apruebo Dignidad","Militante de Partido","Comunes (COM)","Hasta 44","Hombre","Educacion Superior"
"150","Mariela Andrea Serey Jimenez","1","-1.67463616284572","Apruebo Dignidad","Independiente","Independiente - Convergencia Social (CS)","Hasta 44","Mujer","Educacion Superior"
"151","David Spencer Aguilera Tapia","0","-1.43759057702923","Apruebo Dignidad","Militante de Partido","Convergencia Social (CS)","Hasta 44","Hombre","Educacion Media"
"152","Javiera Isadora Viveros Alegria","0","-1.78347769451348","Apruebo Dignidad","Independiente","Independiente - Partido Igualdad (PI)","Hasta 44","Mujer","Educacion Superior"
"153","Paula Alejandra Freire Sabaj","0","-1.15773065606745","Apruebo Dignidad","Independiente","Independiente - Partido Comunista (PC","Hasta 44","Mujer","Educacion Superior"
"154","Roberto Gabriel Parra Vallette","0","-1.54919226364047","Apruebo Dignidad","Independiente","Independiente - Revolucion Democratica (RD)","45+","Hombre","Educacion Superior"
"155","Carolina Cyntia Vilches Fuenzalida","1","-1.43695124424154","Apruebo Dignidad","Independiente","Independiente - Comunes (COM)","Hasta 44","Mujer","Educacion Superior"
"156","Alejandra Trinidad Toledo Figueroa","0","-0.980329203843773","Apruebo Dignidad","Militante de Partido","Revolucion Democratica (RD)","Hasta 44","Mujer","Educacion Superior"
"157","Carlos Freddy Alarcon Sepulveda","0","-1.26856511396461","Decision Ciudadana","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"158","Carmen Rosa Aguilera Moreno","0","-1.40581860603267","Decision Ciudadana","Independiente","null","45+","Mujer","Educacion Superior"
"159","Eliam Leonardo Chavez","0","-1.25345885333042","Decision Ciudadana","Independiente","null","Hasta 44","Hombre","null"
"160","Gloria Alejandra Morales Bravo","0","-1.34272937096237","Decision Ciudadana","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"161","Gonzalo Alonzo Araya Munoz","0","-1.26580389569684","Decision Ciudadana","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"162","Katherine Muriel Alarcon Giadach","0","-0.829301265440338","Decision Ciudadana","Independiente","Independiente","Hasta 44","Mujer","Educacion Superior"
"163","Nancy Jacqueline Camus Hernandez","0","-1.17394181484901","Decision Ciudadana","Independiente","null","45+","Mujer","null"
"164","Janis Jan del Carmen Meneses Palma","1","-1.37667932017247","Movimientos Sociales Independientes","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"165","Ruben Perez Sepulveda","0","-1.52552358235565","Movimientos Sociales Independientes","Independiente","null","45+","Hombre","Educacion Superior"
"166","Hernan Ingacio Benjamin Ramirez Rueda","0","-1.03644291466453","Movimientos Sociales Independientes","Independiente","null","45+","Hombre","null"
"167","Mathias Gabriel Martinez Gonzalez","0","-1.39628142556963","Movimientos Sociales Independientes","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"168","Miguel angel Espinoza Munoz","0","-1.2178308146098","Movimientos Sociales Independientes","Independiente","null","45+","Hombre","Educacion Superior"
"169","Natalia Nayadett Zapata Verdugo","0","-1.41399740835706","Movimientos Sociales Independientes","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"170","Alejandro Jose Adana Abril","0","-1.66879509899973","Union Patriotica","Militante de Partido","Partido Union Patriotica","45+","Hombre","Educacion Superior"
"171","Nibaldo Gabriel Pinto Silva","0","-1.31521853401219","Union Patriotica","Militante de Partido","Partido Union Patriotica","Hasta 44","Hombre","null"
"172","Lirit Amancay Brignardello Munoz","0","-1.34503951663333","Union Patriotica","Militante de Partido","Partido Union Patriotica","Hasta 44","Mujer","null"
"173","Jesus Fernando Gomez Orellana","0","-1.5221090232873","Union Patriotica","Militante de Partido","Partido Union Patriotica","Hasta 44","Hombre","Educacion Media"
"174","Benjamin Israel Lorca Inzunza","0","1.00438408016186","Independiente","Independiente","Independiente","Hasta 44","Hombre","Educacion Media"
"175","Cristobal Patricio Andrade Leon","1","-1.34297871913601","Independientes Distrito 6 + Lista del Pueblo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"176","Alexandra Mariana Perez Cepeda","0","-1.15099534920488","Independientes Distrito 6 + Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"177","Alexis Adrian Garcia Olivares","0","-1.13152869312467","Independientes Distrito 6 + Lista del Pueblo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"178","Corina Silva Figueroa","0","-0.89508094188555","Independientes Distrito 6 + Lista del Pueblo","Independiente","null","45+","Mujer","null"
"179","Lisette Lorena Vergara Riquelme","1","-1.39046645971514","Independientes Distrito 6 + Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"180","Lorena Paz Vicencio Arriagada","0","-1.58310912289489","Independientes Distrito 6 + Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
